stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
922;25;190;3106928;190_3106928_10_302;190_3106928_10_302;922__Т;1654__Т;-9.0
1654;20;190;3106928;190_3106928_10_302;190_3106928_10_302;1654__Т;917__Т;-7.0
917;16;190;3106928;190_3106928_10_302;190_3106928_10_302;917__Т;918__Т;2.0
918;17;190;3106928;190_3106928_10_302;190_3106928_10_302;918__Т;925__Т;22.0
925;29;190;3106928;190_3106928_10_302;190_3106928_10_302;925__Т;8794__Т;2.0
8794;30;190;3106928;190_3106928_10_302;190_3106928_10_302;8794__Т;926__Т;2.0
926;31;190;3106928;190_3106928_10_302;190_3106928_10_302;926__Т;1008773__Т;4.0
1008773;34;190;3106928;190_3106928_10_302;190_3106928_10_301;1008773__Т;1008773__Т;-38.0
1008773;1;190;3106928;190_3106928_10_301;190_3106928_10_302;1008773__Т;924__Т;28.0
924;28;190;3106928;190_3106928_10_302;190_3106928_10_302;924__Т;910__Т;-36.0
910;8;190;3106928;190_3106928_10_302;190_3106928_10_302;910__Т;911__Т;2.0
911;9;190;3106928;190_3106928_10_302;190_3106928_10_302;911__Т;912__Т;3.0
912;10;190;3106928;190_3106928_10_302;190_3106928_10_302;912__Т;913__Т;2.0
913;11;190;3106928;190_3106928_10_302;190_3106928_10_302;913__Т;13176__Т;26.0
13176;26;190;3106928;190_3106928_10_302;190_3106928_10_302;13176__Т;914__Т;-22.0
914;13;190;3106928;190_3106928_10_302;190_3106928_10_302;914__Т;649__Т;12.0
649;21;190;3106928;190_3106928_10_302;190_3106928_10_302;649__Т;1689__Т;2.0
1689;22;190;3106928;190_3106928_10_302;190_3106928_10_302;1689__Т;1649__Т;-13.0
1649;14;190;3106928;190_3106928_10_302;190_3106928_10_301;1649__Т;14025__Т;26.0
14025;18;190;3106928;190_3106928_10_301;190_3106928_10_302;14025__Т;920__Т;-11.0
920;23;190;3106928;190_3106928_10_302;190_3106928_10_302;920__Т;916__Т;-14.0
916;15;190;3106928;190_3106928_10_302;190_3106928_10_302;916__Т;552__Т;-18.0
552;4;190;3106928;190_3106928_10_302;190_3106928_10_302;552__Т;1129__Т;2.0
1129;5;190;3106928;190_3106928_10_302;190_3106928_10_302;1129__Т;921__Т;31.0
921;24;190;3106928;190_3106928_10_302;190_3106928_10_302;921__Т;908__Т;-30.0
908;6;190;3106928;190_3106928_10_302;190_3106928_10_302;908__Т;909__Т;1.0
909;7;190;3106928;190_3106928_10_302;190_3106928_10_302;909__Т;927__Т;44.0
927;32;190;3106928;190_3106928_10_302;190_3106928_10_302;927__Т;915__Т;-34.0
915;12;190;3106928;190_3106928_10_302;190_3106928_10_302;915__Т;1000461__Т;9.0
1000461;18;190;3106928;190_3106928_10_302;190_3106928_10_302;1000461__Т;923__Т;16.0
923;27;190;3106928;190_3106928_10_302;190_3106928_10_302;923__Т;1439__Т;10.0
1439;33;190;3106928;190_3106928_10_302;190_3106928_10_302;1439__Т;16180__Т;-25.0
16180;19;190;3106928;190_3106928_10_302;190_3106928_10_301;16180__Т;1008774__Т;-10.0
1008774;2;190;3106928;190_3106928_10_301;190_3106928_10_301;1008774__Т;674__Т;3.0
674;4;190;3106928;190_3106928_10_301;190_3106928_10_301;674__Т;15347__Т;1.0
15347;5;190;3106928;190_3106928_10_301;190_3106928_10_301;15347__Т;930__Т;5.0
930;7;190;3106928;190_3106928_10_301;190_3106928_10_301;930__Т;931__Т;2.0
931;8;190;3106928;190_3106928_10_301;190_3106928_10_301;931__Т;666__Т;3.0
666;10;190;3106928;190_3106928_10_301;190_3106928_10_301;666__Т;929__Т;-7.0
929;6;190;3106928;190_3106928_10_301;190_3106928_10_301;929__Т;932__Т;8.0
932;11;190;3106928;190_3106928_10_301;190_3106928_10_301;932__Т;14695__Т;-14.0
14695;3;190;3106928;190_3106928_10_301;190_3106928_10_301;14695__Т;665__Т;12.0
665;9;190;3106928;190_3106928_10_301;190_3106928_10_301;665__Т;933__Т;4.0
