trip_id;short_name
1883_3112648_10_201;909
1883_3112648_11_201;909
1688_3112643_10_202;Т52
1688_3112643_10_201;Т52
274_3106429_10_302;240
274_3106429_10_301;240
728_3112744_11_201;776
728_3112744_10_201;776
137_3109009_11_301;21
137_3109009_10_301;21
476_3099793_11_701;689
476_3099793_10_701;689
512_3113173_11_201;729
512_3113173_10_201;729
577_3111344_11_201;862
577_3111344_10_201;862
127_3111508_1_701;833
127_3111508_10_701;833
1814_3101279_11_601;874К
1814_3101279_10_601;874К
447_3114352_10_301;630
827_3113923_11_301;З-15
827_3113923_10_301;З-15
827_3113923_10_302;З-15
827_3113923_1_301;З-15
1270_3100558_10_701;С6
1270_3100558_11_701;С6
568_3111242_10_201;293
568_3111242_11_201;293
700_3112031_11_301;70
700_3112031_10_301;70
700_3112031_2_705;70
700_3112031_3_705;70
311_3107007_1_202;39
311_3107007_10_202;39
311_3107007_11_202;39
606_3100056_10_201;514
606_3100056_11_201;514
1649_3101295_10_301;898К
1649_3101295_11_301;898К
1510_3107107_11_201;243
1510_3107107_10_201;243
725_3103481_10_201;958
725_3103481_10_706;958
1791_3107966_11_601;520
1791_3107966_10_601;520
203_3113860_15_201;725
203_3113860_14_201;725
203_3113860_11_201;725
203_3113860_1_706;725
203_3113860_11_302;725
203_3113860_10_302;725
203_3113860_10_201;725
163_3110902_11_301;626
163_3110902_10_301;626
163_3110902_1_301;626
423_3112437_11_301;508
423_3112437_10_301;508
1895_3112800_10_202;304К
1895_3112800_10_704;304К
1909_3107501_11_701;399
1909_3107501_10_701;399
1240_3112796_10_203;304
1240_3112796_10_202;304
1240_3112796_1_202;304
1805_3112374_11_701;112Э
1805_3112374_10_701;112Э
1991_3112518_10_301;Т6
1991_3112518_11_301;Т6
1991_3112518_10_303;Т6
1750_3104438_11_301;565
1750_3104438_10_301;565
1756_3104444_10_301;570
1756_3104444_11_301;570
774_3111977_10_301;52
774_3111977_11_301;52
774_3111977_1_301;52
610_3112799_10_202;3
610_3112799_10_705;3
610_3112799_10_301;3
610_3112799_1_705;3
610_3112799_1_303;3
983_3103749_11_301;З-32
983_3103749_10_301;З-32
953_3103732_10_301;З-22
953_3103732_11_301;З-22
765_3112804_11_301;247
765_3112804_10_301;247
546_3112945_11_604;785
546_3112945_10_604;785
546_3112945_10_602;785
546_3112945_10_605;785
755_3111978_11_301;97
755_3111978_10_301;97
824_3110731_11_301;659
824_3110731_10_301;659
2033_3112148_10_201;Т59
2033_3112148_11_201;Т59
2033_3112148_1_201;Т59
826_3112940_10_701;664
826_3112940_11_701;664
1657_3112420_10_202;868
1657_3112420_11_202;868
1657_3112420_10_201;868
1657_3112420_11_201;868
1657_3112420_10_704;868
1657_3112420_11_704;868
369_3112982_10_701;684
369_3112982_11_701;684
242_3108169_10_301;2
242_3108169_11_301;2
295_3108426_11_301;846
295_3108426_10_301;846
270_3111460_11_301;210
270_3111460_10_301;210
1710_3112682_11_301;867
1710_3112682_10_301;867
1710_3112682_3_703;867
1710_3112682_14_703;867
110_3110845_10_301;930
110_3110845_10_302;930
569_3112098_11_301;873
569_3112098_10_301;873
569_3112098_11_702;873
569_3112098_10_702;873
138_3109312_11_303;54
138_3109312_4_702;54
138_3109312_10_303;54
138_3109312_4_705;54
1800_3109964_11_201;444
