	class	name	lat	lon	address
0	Магазин электроники	Компьютерный салон КС	56.118409	38.418015999999994	Молодёжная ул., 7, микрорайон Аксеновское Поле, п. г. т. Фряново, Россия
1	Салон связи	Евросеть	55.998301	37.258803	с20, 2-й микрорайон, рабочий посёлок Ржавки, Россия
2	Магазин электроники	Sony Centre	55.653293999999995	37.844208	1-й Покровский пр., 5, Котельники, Россия
3	Магазин электроники	Технопарк - Бутик Jura Store	55.754898	37.622114	Красная площадь, 3, Москва, Россия
4	Магазин электроники	Электросила	53.91425600000001	27.580626000000002	Красная ул., 22, Минск, Беларусь
5	Магазин электроники	Интернет-магазин Skyself	55.76486	37.631828999999996	Милютинский пер., 13, Москва, Россия
6	Салон связи	Салон-магазин МТС	54.854248	38.562225	ул. Ленина, 35, Озёры, Россия
7	Магазин электроники	Корпорация Центр	53.875428	86.641723	Ноградская ул., 22, Прокопьевск, Россия
8	Салон связи	Хорошая связь	59.933217000000006	30.438157	Заневский просп., 67к2, Санкт-Петербург, Россия
9	Магазин электроники	Триум-сервис	55.476903	37.301919	Лесная ул., 4Б, Троицк, Россия
10	Магазин электроники	Siberian laboratory vape	56.009322999999995	92.85879	ул. Диктатуры Пролетариата, 11, Красноярск, Россия
11	Салон связи	Билайн	55.744369999999996	37.67848	ул. Рогожский Вал, 5, стр. 13, Москва, Россия
12	Магазин электроники	Цифровой супермаркет DNS	55.028411	73.287979	просп. Мира, 42, корп. 1, Омск, Россия
13	Магазин электроники	31vek.com	55.791743999999994	37.748619	Измайловское ш., 71к4Г-Д, Москва, Россия
14	Магазин электроники	Сидиком	57.123978	35.467787	Аптекарская ул., 5, Лихославль, Россия
15	Магазин электроники	ТехноДевайс	55.701786	37.781973	Складочная ул., 1, стр. 1, Москва, Россия
16	Магазин электроники	Не Пешком	55.824602	37.501384	Старопетровский пр., 7А, стр. 6, Москва, Россия
17	Магазин электроники	Звошоп	55.738485	37.77776	Кусковская ул., 12, Москва, Россия
18	Салон связи	Мобил элемент	56.081377	37.924694	ул. Достоевского, 30/9, п. г. т. Лесной, Россия
19	Магазин электроники	Neocinema	55.726315	37.399399	ул. Горбунова, 2, стр. 3, Москва, Россия
20	Салон связи	Билайн	55.777545999999994	37.521538	Хорошёвское ш., 35, корп. 1, Москва, Россия
21	Магазин электроники	Subini	55.671276	37.755204	Совхозная ул., 10А, Москва, Россия
22	Магазин электроники	Динамика	56.968518	40.989965000000005	10, Ленинский район, Московский микрорайон, Иваново, Россия
23	Магазин электроники	Мир Электроники	50.304957	127.528539	ул. Воронкова, 4, Благовещенск, Россия
24	Салон связи	IBooM	56.853504	35.866834999999995	просп. Калинина, 15, стр. 1, Тверь, Россия
25	Магазин электроники	Электроника Электрика	54.611528	39.794175	ул. Советской Армии, 11, Октябрьский административный округ, район Дашково-Песочня, Рязань, Россия
26	Магазин электроники	Техно-М	55.769980000000004	37.586724	Васильевская ул., 2, корп. 2, Москва, Россия
27	Салон связи	Билайн	56.25634300000001	34.32778	Большая Спасская ул., 10, Ржев, Россия
28	Магазин электроники	М.Видео	68.956053	33.071078	просп. Ленина, 32, Мурманск, Россия
